il,plaka,yil,Hastane Sayısı - Ölçüm bazında,Hastane Yatak Sayısı - Ölçüm bazında,Sağlık Personeli Sayısı - 1. (Uzman Hekim),Sağlık Personeli Sayısı - 2. (Pratisyen Hekim),Sağlık Personeli Sayısı - 3. (Asistan Hekim),Sağlık Personeli Sayısı - 4. (Diş Hekimi),Sağlık Personeli Sayısı - 5. (Hemşire),Sağlık Personeli Sayısı - 6. (Ebe),Sağlık Personeli Sayısı - 7. (Eczacı),Sağlık Personeli Sayısı - 98. (Diğer Sağlık Personeli),"İbbs-Düzey1, İbbs-Düzey2, İl Ve İlçe Nüfusları","İbbs-Düzey1, İbbs-Düzey2, İl Ve İlçe Nüfusları - Köy","İbbs-Düzey1, İbbs-Düzey2, İl Ve İlçe Nüfusları - Ölçüm bazında","İbbs-Düzey1, İbbs-Düzey2, İl Ve İlçe Nüfusları - Şehir"
Gümüşhane,29,2025,,,,,,,,,,,54091.0,,,
Hakkari,30,2025,,,,,,,,,,,93551.0,,,
Hatay,31,2025,,,,,,,,,,,1577531.0,,,
Isparta,32,2025,,,,,,,,,,,107915.0,,,
Mersin,33,2025,,,,,,,,,,,1956428.0,,,
İstanbul,34,2025,,,,,,,,,,,15754053.0,,,
İzmir,35,2025,,,,,,,,,,,4504185.0,,,
Kars,36,2025,,,,,,,,,,,120528.0,,,
Kastamonu,37,2025,,,,,,,,,,,132808.0,,,
Kayseri,38,2025,,,,,,,,,,,1458991.0,,,
Kırklareli,39,2025,,,,,,,,,,,98530.0,,,
Kırşehir,40,2025,,,,,,,,,,,44168.0,,,
Kocaeli,41,2025,,,,,,,,,,,2161171.0,,,
Konya,42,2025,,,,,,,,,,,2343409.0,,,
Kütahya,43,2025,,,,,,,,,,,145053.0,,,
Malatya,44,2025,,,,,,,,,,,755854.0,,,
Manisa,45,2025,,,,,,,,,,,1477756.0,,,
Kahramanmaraş,46,2025,,,,,,,,,,,1146278.0,,,
Mardin,47,2025,,,,,,,,,,,903576.0,,,
Muğla,48,2025,,,,,,,,,,,1099547.0,,,
Muş,49,2025,,,,,,,,,,,189678.0,,,
Nevşehir,50,2025,,,,,,,,,,,107497.0,,,
Niğde,51,2025,,,,,,,,,,,138870.0,,,
Ordu,52,2025,,,,,,,,,,,768087.0,,,
Rize,53,2025,,,,,,,,,,,110957.0,,,
Sakarya,54,2025,,,,,,,,,,,1123693.0,,,
Samsun,55,2025,,,,,,,,,,,1392403.0,,,
Siirt,56,2025,,,,,,,,,,,101181.0,,,
Sinop,57,2025,,,,,,,,,,,81564.0,,,
Sivas,58,2025,,,,,,,,,,,142801.0,,,
